attempted,solved,missed,points,num_persons,pct_persons,tot_pct_persons
44,41,3,38,1,9.09,27.27
44,40,4,36,1,9.09,36.36
44,39,5,34,2,18.18,54.55
44,38,6,32,1,9.09,63.64
44,37,7,30,1,9.09,72.73
44,35,9,26,1,9.09,81.82
44,32,12,20,2,18.18,100.00
45,42,3,39,1,16.67,16.67
45,39,6,33,2,33.33,50.00
45,36,9,27,2,33.33,83.33
45,32,13,19,1,16.67,100.00
46,44,2,42,1,5.88,5.88
46,43,3,40,1,5.88,11.76
46,42,4,38,2,11.76,23.53
46,41,5,36,1,5.88,29.41
46,40,6,34,4,23.53,52.94
46,39,7,32,1,5.88,58.82
46,38,8,30,2,11.76,70.59
46,36,10,26,1,5.88,76.47
46,34,12,22,2,11.76,88.24
46,27,19,8,2,11.76,100.00
48,48,0,48,1,25.00,25.00
48,44,4,40,1,25.00,50.00
48,43,5,38,1,25.00,75.00
48,42,6,36,1,25.00,100.00
49,47,2,45,1,33.33,33.33
49,41,8,33,1,33.33,66.67
49,37,12,25,1,33.33,100.00
50,44,6,38,1,50.00,50.00
50,39,11,28,1,50.00,100.00
52,47,5,42,1,50.00,50.00
52,42,10,32,1,50.00,100.00
